county,office,district,party,candidate,votes
Lafayette,State Senate,24,D,"Patricia ""Pat"" Cravins",1805
Lafayette,State Senate,24,D,Elbert L. Guillory,810
Lafayette,State Senate,24,D,"Quincy Richard, Jr.",114
Lafayette,State Senate,24,R,"Lincoln ""Link"" Savoie",629
Lafayette,State Senate,24,D,Kelly J. Scott,186
St. Landry,State Senate,24,D,"Patricia ""Pat"" Cravins",1963
St. Landry,State Senate,24,D,Elbert L. Guillory,4591
St. Landry,State Senate,24,D,"Quincy Richard, Jr.",883
St. Landry,State Senate,24,R,"Lincoln ""Link"" Savoie",1847
St. Landry,State Senate,24,D,Kelly J. Scott,433
Orleans,State House,97,D,Jared Brossett,793
Orleans,State House,97,R,"Oliver ""Bishop OC"" Coleman",142
Orleans,State House,97,D,Leroy Doucette,420
Orleans,State House,97,D,Ambrose J. Pratt,218
Orleans,State House,97,D,"""Nik"" Richard",255
Orleans,State House,97,D,Dalton Savwoir,330
