parish,office,district,party,candidate,votes
Jefferson,State Senate,6th Senatorial District,R,Julie Quinn,3839
Jefferson,State Senate,6th Senatorial District,R,Diane Winston,1687
Orleans,State Senate,6th Senatorial District,R,Julie Quinn,1837
Orleans,State Senate,6th Senatorial District,R,Diane Winston,1024
St. Tammany,State Senate,6th Senatorial District,R,Julie Quinn,1379
St. Tammany,State Senate,6th Senatorial District,R,Diane Winston,3556
Tangipahoa,State Senate,6th Senatorial District,R,Julie Quinn,1788
Tangipahoa,State Senate,6th Senatorial District,R,Diane Winston,2066
Jefferson,State House,87th Representative District,D,Terrell Harris,1804
Jefferson,State House,87th Representative District,D,Donald R. Jones,786
Jefferson,State House,87th Representative District,D,Dianne LePree-Williams,95
Jefferson,State House,87th Representative District,D,Ben Muhammad,19
