county,office,district,party,candidate,votes
Concordia,State House,21,D,"""Andy"" Anders",4649
Concordia,State House,21,D,Samuel Thomas,1263
East Carroll,State House,21,D,"""Andy"" Anders",293
East Carroll,State House,21,D,Samuel Thomas,773
Madison,State House,21,D,"""Andy"" Anders",391
Madison,State House,21,D,Samuel Thomas,1562
Tensas,State House,21,D,"""Andy"" Anders",1130
Tensas,State House,21,D,Samuel Thomas,670
Orleans,State House,97,D,Brian Egana,2636
Orleans,State House,97,D,"""J. P."" Morrell",2783
